ID,Site,Subsite,Diver_Team,Date,Transect_Type,Sampling_Period ,Transect_Number,Transect_Heading,Visibility,Species_Code,Species,Abundance,Size_cm,Min_Range_cm,Max_Range_cm,Water_Col_Position,Biomass_kg_m3,Data_Entered_By,Data_Read_By,Notes,QAQC_Name,QAQC_Date,QAQC_Notes
AR-345_TITAN_2016-01-27_R_T1,345,TITAN,CR_HL,2016-01-27,Radiating,Winter,1,0,3,CEST,Black Sea Bass,1,22,,,R,,CR,,Fish seen on way back,,,
AR-345_TITAN_2016-01-27_R_T1,345,TITAN,CR_HL,2016-01-27,Radiating,Winter,1,0,3,CEST,Black Sea Bass,1,20,,,R,,CR,,Fish seen on way back,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,31,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,21,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,20,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,20,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,23,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,2,28,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,26,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,26,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,28,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,11,26,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,13,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,27,,,R,,CR,,,,,
AR-345_TITAN_2016-01-27_S,345,TITAN,CR_LB,2016-01-27,Structural,Winter,,,10,CEST,Black Sea Bass,1,14,,,R,,CR,,,,,
AR-372_TRAINCARS_2015-09-03_R_T1,372,TRAINCARS,HL_KJ,2015-09-03,Radiating,Fall,1,305,,CEST,Black Sea Bass,2,13,,,R,,HL,,,CR/HL,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_R_T3,372,TRAINCARS,HL_KJ,2015-09-03,Radiating,Fall,3,305,,CEST,Black Sea Bass,1,15,,,R,,HL,,,CR/HL,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_R_T3,372,TRAINCARS,HL_KJ,2015-09-03,Radiating,Fall,3,305,,CEST,Black Sea Bass,1,9,,,R,,HL,,,CR/HL,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_R_T3,372,TRAINCARS,HL_KJ,2015-09-03,Radiating,Fall,3,305,,CEST,Black Sea Bass,1,4,,,R,,HL,,,CR/HL,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_R_T3,372,TRAINCARS,HL_KJ,2015-09-03,Radiating,Fall,3,305,,CEST,Black Sea Bass,1,8,,,R,,HL,,,CR/HL,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_R_T3,372,TRAINCARS,HL_KJ,2015-09-03,Radiating,Fall,3,305,,CEST,Black Sea Bass,1,10,,,R,,HL,,,CR/HL,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CEST,Black Sea Bass,1,20,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CEST,Black Sea Bass,1,15,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CEST,Black Sea Bass,1,19,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CEST,Black Sea Bass,1,25,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CEST,Black Sea Bass,1,23,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CEST,Black Sea Bass,1,22,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CEST,Black Sea Bass,1,29,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CEST,Black Sea Bass,1,27,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,CEST,Black Sea Bass,1,18,,,R,,CR,,,CR,2015-10-30,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,19,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,17,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,10,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,12,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,24,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,20,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,20,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,20,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,22,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,18,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,29,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,CEST,Black Sea Bass,1,27,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-12-10_R_T1,364,TUGBOAT,HL_DW,2015-12-10,Radiating,Winter,1,180,15-20,CEST,Black Sea Bass,1,25,,,R,,HL,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,20,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,15,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,14,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,3,27,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,20,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,17,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,17,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,19,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,32,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,15,,,R,,CR,,,,,
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,CEST,Black Sea Bass,1,20,,,R,,CR,,,,,
AR-372_NR1_2015-09-02_R_T1_T2_T3,372,NR1,JF_JS,2015-09-02,Radiating,Fall,,0,,CACR,Blue Runner,5,25,,,S,,,,,HL,2015-11-3,"Left out of original entry, 1 error "
AR-372_NR1_2015-09-02_R_T1_T2_T3,372,NR1,JF_JS,2015-09-02,Radiating,Fall,,0,,CACR,Blue Runner,30,40,,,W,,,,,HL,2015-11-3,"Left out of original entry, 1 error "
AR-372_NR1_2015-09-02_R_T1_T2_T3,372,NR1,JF_JS,2015-09-02,Radiating,Fall,,0,,CACR,Blue Runner,20,30,,,S,,,,,HL,2015-11-3,"Left out of original entry, 1 error "
AR-372_NR1_2015-09-02_R_T1_T2_T3,372,NR1,JF_JS,2015-09-02,Radiating,Fall,,0,,CACR,Blue Runner,20,30,,,S,,,,,HL,2015-11-3,"Left out of original entry, 1 error "
AR-372_NR1_2015-09-02_R_T1_T2_T3,372,NR1,JF_JS,2015-09-02,Radiating,Fall,,0,,CACR,Blue Runner,20,20,,,S,,,,,HL,2015-11-3,Left out of original entry
AR-378_PIPES_2015-09-14_R_T1,378,PIPES,HL_CR,2015-09-14,Radiating,Fall,1,95,,CACR,Blue Runner,10,,20,26,R,,HL,,,CR,2015-11-03,0 errors
AR-364_PODS_2015-09-21_R_T2,364,PODS,HL_BW,2015-09-21,Radiating,Fall,2,,10-12,SYSA,Bluestriped Lizardfish,1,35,,,R,,,,,CR,2015-11-03,Data not entered
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,2015-12-11,Radiating,Winter,3,315,35-40,GYMN,Butteryfly ray,,,,,R,,CR,,Off transect,,,
AR-372_TRAINCARS_2015-09-03_R_T3,372,TRAINCARS,HL_KJ,2015-09-03,Radiating,Fall,3,305,,UREA,Carolina Hake,1,,,,R,,HL,,Can't see size,CR/HL,2015-10-30,0 errors
AR-372_NR2_2015-12-09_R_T1,372,NR2,WF_LB,2015-12-09,Radiating,Winter,1,180-240,,RAEG,Clearnose Skate,1,45,,,,,CR,,some low relief hard bottom the whole way,,,
AR-364_BARGE_2015-09-21_S,364,BARGE,HL_BW,2015-09-21,Structural,Fall,,,10-13,STVA/STLE,Cocoa/Beaugregory Damselfish,1,5,,,R,,HL,,,CR,2015-11-03,0 errors
AR-370_BARGE_2015-09-09_R_T1,370,BARGE,HL_AV,2015-09-09,Radiating,Fall,1,180,,STVA/STLE,Cocoa/Beaugregory Damselfish,1,3,,,R,,HL,,,HL,2015-11-5,0 errors
AR-330_INDRA_2015-08-20-S,330,INDRA,CR,2015-08-20,Structural,Summer,,0,,STVA/STLE,Cocoa/Beaugregory Damselfish,1,5,,,R,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, added transect heading, 2 errors"
AR-330_INDRA_2015-12-11_S,330,INDRA,HL_CR,2015-12-11,Structural,Winter,,50,40,STVA/STLE,Cocoa/Beaugregory Damselfish,2,4,,,R,,HL,,,,,
AR-330_INDRA_2015-12-11_S,330,INDRA,HL_CR,2015-12-11,Structural,Winter,,50,40,STVA/STLE,Cocoa/Beaugregory Damselfish,1,6,,,R,,HL,,,,,
AR-330_INDRA_2015-12-11_S,330,INDRA,HL_CR,2015-12-11,Structural,Winter,,50,40,STVA/STLE,Cocoa/Beaugregory Damselfish,1,5,,,R,,HL,,,,,
AR-330_INDRA_2015-12-11_S,330,INDRA,HL_CR,2015-12-11,Structural,Winter,,50,40,STVA/STLE,Cocoa/Beaugregory Damselfish,2,2,,,R,,HL,,,,,
AR-330_INDRA_2015-12-11_S,330,INDRA,HL_CR,2015-12-11,Structural,Winter,,50,40,STVA/STLE,Cocoa/Beaugregory Damselfish,1,7,,,R,,HL,,,,,
AR-370_LIBERTYSHIP_2015-09-03_S,370,LIBERTYSHIP ,HL_KJ,2015-09-03,Structural,Fall,,,,STVA/STLE,Cocoa/Beaugregory Damselfish,1,5,,,R,,HL,,,CR,2015-10-30,0 errors
AR-345_TITAN_2015-10-15_S,345,TITAN,HL_TK,2015-10-15,Structural,Fall,,,15-20,STVA/STLE,Cocoa/Beaugregory Damselfish,1,3,,,R,,HL,,,HL,2015-11-6,0 errors 
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,STVA/STLE,Cocoa/Beaugregory Damselfish,1,6,,,R,,CR,,Not sure of ID,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,STVA/STLE,Cocoa/Beaugregory Damselfish,1,8,,,R,,CR,,Not sure of ID,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,STVA/STLE,Cocoa/Beaugregory Damselfish,1,10,,,R,,CR,,Not sure of ID,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-12-10_S,364,TUGBOAT,CR_LB,2015-12-10,Structural,Winter,,,15-20,STVA/STLE,Cocoa/Beaugregory Damselfish,1,9,,,R,,CR,,,,,
AR-342_PIPES_2015-10-14_S,342,PIPES,HL_CR,2015-10-14,Structural,Fall,,310,10-15,HYGE,Crested Blenny ,1,3,,,R,,HL,,,HL,2015-11-6,0 errors
AR-372_RB1_2015-09-02_S,372,RB1,HL_BW,2015-09-02,Structural,Fall,,,,PAUM,Cubbyu ,2,6,,,R,,HL,,,HL,2015-11-3,0 errors
AR-372_RB1_2015-09-02_S,372,RB1,HL_BW,2015-09-02,Structural,Fall,,,,PAUM,Cubbyu ,2,4,,,R,,HL,,,HL,2015-11-3,0 errors
AR-372_RB1_2015-09-02_S,372,RB1,HL_BW,2015-09-02,Structural,Fall,,,,PAUM,Cubbyu ,1,8,,,R,,HL,,,HL,2015-11-3,0 errors
AR-378_RB1_2015-09-21_S,378,RB1,WF_EA,2015-09-21,Structural,Fall,,,,PAUM,Cubbyu ,1,15,,,R,,HL same time at QA/AC,,"Terrible vis, gave up trying to ID fish after a couple of minutes ",HL,2015-11-6,0 errors
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,2015-12-11,Structural,Winter,,,40,PAUM,Cubbyu ,1,14,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,2015-12-11,Structural,Winter,,,40,PAUM,Cubbyu ,1,15,,,R,,CR,,,,,
AR-364_BARGE_2015-09-21_S,364,BARGE,HL_BW,2015-09-21,Structural,Fall,,,10-13,PAUM,Cubbyu ,1,18,,,R,,HL,,,CR,2015-11-03,0 errors
AR-364_DOMES_2015-09-21_S,364,DOMES,HL_BW,2015-09-21,Structural,Fall,,,,PAUM,Cubbyu ,1,23,,,R,,HL,,,CR,2015-11-03,0 errors
AR-330_H-UNITS_2015-09-08_S,330,H-UNITS,CR_JF,2015-09-08,Structural,Fall,,30,,PAUM,Cubbyu ,1,25,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-330_H-UNITS_2015-09-08_S,330,H-UNITS,CR_JF,2015-09-08,Structural,Fall,,30,,PAUM,Cubbyu ,1,11,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-330_H-UNITS_2015-09-08_S,330,H-UNITS,CR_JF,2015-09-08,Structural,Fall,,30,,PAUM,Cubbyu ,1,13,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-330_INDRA_2015-07-27_R_T1,330,INDRA,HL_AP,2015-07-27,Radiating,Summer,1,323,,PAUM,Cubbyu ,4,5,,,R,,CR,HL,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,PAUM,Cubbyu ,1,20,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,PAUM,Cubbyu ,1,25,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,PAUM,Cubbyu ,1,22,,,R,,HL,,,CR,2015-10-30,0 errors
AR-370_LIBERTYSHIP_2015-09-03_R_T1,370,LIBERTYSHIP ,WF_JS,2015-09-03,Radiating,Fall,1,,,PAUM,Cubbyu ,1,5,,,R,,CR,,,CR,2015-10-30,0 errors
AR-370_NR1_2015-09-09_R_T2,370,NR1,CR_BW,2015-09-09,Radiating,Fall,2,275,,PAUM,Cubbyu ,1,12,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_R_T2,370,NR1,CR_BW,2015-09-09,Radiating,Fall,2,275,,PAUM,Cubbyu ,1,14,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_R_T2,370,NR1,CR_BW,2015-09-09,Radiating,Fall,2,275,,PAUM,Cubbyu ,1,12,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-372_NR1_2015-09-02_S,372,NR1,CR_WF,2015-09-02,Structural,Fall,,121,,PAUM,Cubbyu ,1,12,,,R,,CR,,,HL,2015-11-3,0 errors
AR-372_NR1_2015-12-03_S,372,NR1,HL_CR,2015-12-03,Structural,Winter,,270,8-10,PAUM,Cubbyu ,1,12,,,R,,HL,,,,,
AR-370_NR2_2015-09-09_S,370,NR2,CR_BW,2015-09-09,Structural,Fall,,30,,PAUM,Cubbyu ,3,12,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR2_2015-09-09_S,370,NR2,CR_BW,2015-09-09,Structural,Fall,,30,,PAUM,Cubbyu ,1,13,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR2_2015-09-09_S,370,NR2,CR_BW,2015-09-09,Structural,Fall,,30,,PAUM,Cubbyu ,1,12,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-372_NR2_2015-09-02_R_T1,372,NR2,CR_WF,2015-09-02,Radiating,Fall,1,0,,PAUM,Cubbyu ,1,15,,,R,,CR,,,HL,2015-11-3,0 errors
AR-372_NR2_2015-09-02_S,372,NR2,HL_BW,2015-09-02,Structural,Fall,,,12,PAUM,Cubbyu ,2,6,,,R,,HL,,,HL,2015-11-3,0 errors
AR-330_PIPES_2015-09-08_S,330,PIPES,HL_WF,2015-09-08,Structural,Fall,,,,PAUM,Cubbyu ,3,12,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_PIPES_2015-09-08_S,330,PIPES,HL_WF,2015-09-08,Structural,Fall,,,,PAUM,Cubbyu ,1,8,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_PIPES_2016-01-15_S,330,PIPES,HL_LB,2016-01-15,Structural,Winter,,75,15,PAUM,Cubbyu ,6,,9,11,R,,HL,,,,,
AR-345_PIPES_2015-08-10_S,345,PIPES,HL_GS,2015-08-10,Structural,Summer,,,,PAUM,Cubbyu ,1,9,,,R,,CR,HL,PRE SAMPLING PERIOD,CR,2015-10-29,0 errros
AR-345_PIPES_2015-08-10_S,345,PIPES,HL_GS,2015-08-10,Structural,Summer,,,,PAUM,Cubbyu ,1,2,,,R,,CR,HL,PRE SAMPLING PERIOD,CR,2015-10-29,0 errros
AR-345_PIPES_2015-08-10_S,345,PIPES,HL_GS,2015-08-10,Structural,Summer,,,,PAUM,Cubbyu ,1,9,,,R,,CR,HL,PRE SAMPLING PERIOD,CR,2015-10-29,0 errros
AR-345_PIPES_2015-08-10_S,345,PIPES,HL_GS,2015-08-10,Structural,Summer,,,,PAUM,Cubbyu ,4,6,,,R,,CR,HL,PRE SAMPLING PERIOD,CR,2015-10-29,0 errros
AR-370_PIPES_2015-09-03_S,370,PIPES,CR_MD,2015-09-03,Structural,Fall,,,5,PAUM,Cubbyu ,1,12,,,R,,CR,,,CR/HL,2015-10-30,0 errors
AR-378_PIPES_2015-09-14_S,378,PIPES,HL_WF,2015-09-14,Structural,Fall,,,3-4,PAUM,Cubbyu ,2,,18,21,R,,HL,,,HL,2015-11-37,0 errors 
AR-378_PIPES_2015-09-14_S,378,PIPES,HL_WF,2015-09-14,Structural,Fall,,,3-4,PAUM,Cubbyu ,1,35,,,R,,HL,,,HL,2015-11-38,0 errors 
AR-372_PODS_2015-09-02_S,372,PODS,HL_BW,2015-09-02,Structural,Fall,,,10-15,PAUM,Cubbyu ,1,13,,,R,,HL,,,HL,2015-11-3,0 errors 
AR-345_RB1_2015-10-15_S,345,RB1,HL_TK,2015-10-15,Structural,Fall,,,15,PAUM,Cubbyu ,2,25,,,R,,HL,,,HL,2015-11-6,0 errors
AR-345_RB1_2015-10-15_S,345,RB1,HL_TK,2015-10-15,Structural,Fall,,,15,PAUM,Cubbyu ,5,8,,,R,,HL,,,HL,2015-11-6,0 errors
AR-345_RB1_2015-10-15_S,345,RB1,HL_TK,2015-10-15,Structural,Fall,,,15,PAUM,Cubbyu ,2,18,,,R,,HL,,,HL,2015-11-6,0 errors
AR-345_RB1_2015-10-15_S,345,RB1,HL_TK,2015-10-15,Structural,Fall,,,15,PAUM,Cubbyu ,3,10,,,R,,HL,,,HL,2015-11-6,0 errors
AR-372_RB1_2015-12-09_S,372,RB1,HL_CR,2015-12-09,Structural,Winter,,,10-15,PAUM,Cubbyu ,5,,12,14,R,,HL,,,,,
AR-330_RUBBLE_2015-07-17_S,330,RUBBLE,CR_AP,2015-07-17,Structural,Summer,,,,PAUM,Cubbyu ,2,8,,,R,,HL,CR,"PRE SAMPLING PERIOD 1st dive, less reliable data",CR,2015-10-29,"Changed ID, 1 error"
AR-345_TITAN_2015-10-15_S,345,TITAN,HL_TK,2015-10-15,Structural,Fall,,,15-20,PAUM,Cubbyu ,2,8,,,R,,HL,,,HL,2015-11-6,0 errors 
AR-345_TITAN_2015-10-15_S,345,TITAN,HL_TK,2015-10-15,Structural,Fall,,,15-20,PAUM,Cubbyu ,1,7,,,R,,HL,,,HL,2015-11-6,0 errors 
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,PAUM,Cubbyu ,1,11,,,R,,CR,,,CR,2015-10-30,0 errors
AR-372_TRAINCARS_2015-09-03_S,372,TRAINCARS,CR_MD,2015-09-03,Structural,Fall,,,,PAUM,Cubbyu ,1,13,,,R,,CR,,,CR,2015-10-30,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,PAUM,Cubbyu ,1,23,,,R,,CR,,,CR,2015-11-03,0 errors
AR-364_TUGBOAT_2015-09-21_S,364,TUGBOAT,CR_SO,2015-09-21,Structural,Fall,,,20,PAUM,Cubbyu ,1,13,,,R,,CR,,,CR,2015-11-03,0 errors
AR-372_NR2_2015-09-02_R_T1,372,NR2,CR_WF,2015-09-02,Radiating,Fall,1,0,,UPPA,Dawrf Goatfish,2,10,,,R,,CR,,,HL,2015-11-3,0 errors
AR-330_INDRA_2015-12-11_R_T3,330,INDRA,CR_HL,2015-12-11,Radiating,Winter,3,90,35,DESP,Decapterus Species,500,18,,,S,,CR,,,,,
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,2015-09-08,Structural,Fall,,300,,DESP,Decapterus Species,2000,20,,,,,CR,,,CR,2015-10-30,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,2015-09-08,Structural,Fall,,300,,DESP,Decapterus Species,3000,15,,,W,,CR,,,CR,2015-10-30,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,2015-09-08,Structural,Fall,,300,,DESP,Decapterus Species,20,21,,,,,CR,,,CR,2015-10-30,0 errors
AR-364_BARGE_2015-12-10_R_T1,364,BARGE,WF_MD,2015-12-10,Radiating,Winter,1,330,15,DESP,Decapterus Species,500,,15,20,,,CR,,,,,
AR-364_BARGE_2015-12-10_S,364,BARGE,CR_LB,2015-12-10,Structural,Winter,,,10,DESP,Decapterus Species,1000,13,,,S,,CR,,,,,
AR-330_INDRA_2015-07-27_R_T1,330,INDRA,HL_AP,2015-07-27,Radiating,Summer,1,323,,DESP,Decapterus Species,1000,10,,,W,,CR,HL,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, 1 error"
AR-330_INDRA_2015-07-27_S,330,INDRA,CR_AP_JH,2015-07-27,Structural,Summer,,,,DESP,Decapterus Species,1000,11,,,S,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, 1 error"
AR-330_INDRA_2015-08-20_R_T1_T2,330,INDRA,HL,2015-08-20,Radiating,Summer,1_2,60,,DESP,Decapterus Species,300,,4,5,W,,CR,HL,PRE SAMPLING PERIOD,HL,2015-11-3,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,DESP,Decapterus Species,70,18,,,S,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,DESP,Decapterus Species,100,7,,,,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,DESP,Decapterus Species,200,13,,,,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,DESP,Decapterus Species,500,20,,,,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
