Species_Code,Family,Genus,species,Common_Name,Snapper-Grouper,Pelagic-Demersal,Functional_Group,a,b,Trophic_level,SE,Vulnerability,Resilence,N_extent,S_extent,Swim_mode,Swim_type,Plankton?,Plankton type,Refs,Distrib_accuracy,Notes
SPSP,Tetraodontidae,Sphoeroides,spengleri,Bandtail Puffer,N/A,Demersal,Benthic Carnivore,0.02239,2.91,3.3,0.2,25,High,40,,,,No,,,,
BOPU,Labridae,Bodianus,pulchellus,Spotfin Hogfish,YES,Demersal,Invertivore,0.0123,3.04,3.6,0.48,34,Medium,29,7N,,,No,,Fishbase,,
CECU,Serranidae,Cephalopholis,cruentata,Graysby,YES,Demersal,Benthic Carnivore,0.01096,3.07,4.3,0.6,33,Medium,36,6,,,No,,Fishbase,,
ELOC,Gobiidae,Elacatinus,oceanops,Neon Goby,N/A,Demersal,Benthic Carnivore,0.00891,3.08,3.5,0.37,11,High,28,16N,,,No,,Fishbase,,
SECE,Serranidae,Cephalopholis,fulva,Coney,YES,Demersal,Benthic Carnivore,0.01,3.02,4.1,0.4,52,Low,36,28,,,No,,Fishbase,,
NOFI,Unknown,N/A,N/A,NO_FISH,,,Unknown,,,,,,,,,,,,,,,
ACAN,Acanthuridae,Acanthurus,sp.,Unknown Surgeonfish,N/A,Demersal,Herbivore,0.021387,2.94,2,,34,,,,,,No,,Fishbase,,"averaged ocean, doctorfish, and blue tang"
BELO,Belonidae,Belonidae,sp.,Unknown Needlefish,N/A,Demersal,Piscivore,0.001025,3.065,4,,46,,,,,,No,,Fishbase,,"averaged flat, keeltail, and atlantic needlefish"
CAAR,Sparidae,Calamus,arctifrons,Grass Porgy,,Demersal,Invertivore,0.02291,2.93,3.5,0.37,33,Medium,30,24N,,,No,,Fishbase,,
CASU,Balistidae,Canthidermis,sufflamen,Ocean Triggerfish,YES,Demersal,Planktivore,0.01995,2.94,3.5,0.3,46,Medium,43,17,balistiform,,No,,Fishbase,,
CHAE,Chaetodontidae,Chaetodontidae,sp.,Unknown Butterflyfish,N/A,Demersal,Omnivore,0.024305,3.02,3.8,,,,,,balistiform,"median, pectoral fins",No,,,,averaged from Reef and Spotfin 
GERR,Gerreidae,Gerreidae,sp.,Unknown Mojarra,N/A,Demersal,Benthic Carnivore,0.010596,3.09,3.3,,,,,,,,,,,,
GYMN,Gymnuridae,Gymnura,sp.,Unknown Butterfly Ray,N/A,Demersal,Carnivore,0.01318,3.02,,,50.5,Low,44,35,Rajiform,,No,,Fishbase,,average of smooth and spiny butterfly rays
MULL,Mullidae,Mullidae,sp.,Unknown Goatfish,N/A,Demersal,Benthic Carnivore,0.0095075,3.125,3.55,0.325,29.75,High,,,,,,,,,Averages from all other goatfish
PARA,Paralichthyidae,Paralichthys,sp.,Unknown Flounder,N/A,Demersal,Benthic Carnivore,,,,,46,Medium,,,anguilliform,"body, caudal",,,,,"average from gulf, summer, and southern"
PRIO,Triglidae,Triglidae,sp. ,Unknown Searobin,N/A,Demersal,Benthic Carnivore,,,,,,,,,,,,,,,
RAEG,Rajidae,Raja,eglanteria,Clearnose Skate,N/A,Demersal,Carnivore,0.00275,3.23,,,57,Low,42,25N,Rajiform,,No,,Fishbase,,Dist. Mass. to Southern Florida
SPHY,Sphyrnidae,Sphyrna,sp.,Unknown Hammerhead,N/A,Pelagic,Carnivore,,,,,,,,,,,,,,,
STCA/STCH,Sparidae,Stenotomus,sp.,Longspine Porgy/Scup,YES,Demersal,Benthic Carnivore,,,,,,Medium,,,,,No,,,,
STVA/STLE,Pomacentridae,Stegastes,sp.,Cocoa/Beaugregory Damselfish,N/A,Demersal,Omnivore,0.019075,2.96,,0.25,,High,,,labriform,"median, pectoral fins",No,,,,
SYIN,Synodontidae,Synodus,intermedius,Sand Diver,N/A,Demersal,Carnivore,,,4.2,0.5,Low,High,37,30,,,No,,,,
SYSP,Synodontidae,Synodus,sp.,Unknown Lizardfish,N/A,Demersal,Carnivore,,,,,,,,,,,No,,,,
SYSA,Synodontidae,Synodus,saurus,Bluestriped Lizardfish,N/A,Demersal,Carnivore,0.00479,3.16,4.5,0.8,High,Low,45,14N,,,No,,,,Also called the Atlantic Lizardfish
TETR,Tetraodontidae,Canthigaster,sp.,Unknown Pufferfish,N/A,Demersal ,Omnivore,,,,,,,,,,,,,,,
CARA,Carangidae,Carangoides,sp.,Unknown Jack,N/A,Pelagic,Piscivore,,,,,,,,,carangiform,"body, caudal",,,,,
GRUN,Haemulidae,Haemulon,sp. ,Unknown Grunt,YES,Demersal,Invertivore,,,,,,,,,,,,,,,
